kakuro 12 20
w         w         w         (21 NIL)  (4 NIL)   (11 NIL)  w         w         (8 NIL)   (7 NIL)   w         (3 NIL)   (6 NIL)   w         w         (39 NIL)  (3 NIL)   (23 NIL)  w         w         
w         w         (15 7)    4         1         2         (10 NIL)  (NIL 4)   3         1         (11 4)    1         3         w         (11 19)   8         2         9         (6 NIL)   w         
w         (24 18)   2         8         3         1         4         (14 15)   5         4         3         2         1         (10 16)   3         4         1         6         2         (16 NIL)  
(NIL 21)  8         4         9         (18 6)    3         1         2         (10 3)    2         1         (12 11)   2         3         1         5         (33 20)   8         3         9         
(NIL 14)  9         5         (23 15)   1         5         2         4         3         (29 3)    2         1         (30 29)   7         5         9         8         (18 8)    1         7         
(NIL 27)  7         3         9         8         (38 42)   3         7         4         9         5         6         8         (29 12)   2         6         3         1         (15 NIL)  w         
w         (NIL 12)  1         6         2         3         (25 8)    1         2         5         (12 20)   3         9         8         (28 29)   7         9         8         5         (21 NIL)  
w         (4 NIL)   (7 28)    8         4         7         9         (7 28)    1         7         3         2         6         5         4         (11 28)   7         9         4         8         
(NIL 3)   1         2         (19 11)   3         5         2         1         (24 10)   8         2         (7 35)    7         9         8         5         6         (6 10)    1         9         
(NIL 6)   3         1         2         (16 30)   9         8         6         7         (16 3)    1         2         (17 19)   7         9         3         (5 7)     1         2         4         
w         (NIL 34)  4         9         7         8         6         (NIL 34)  9         7         6         4         8         (NIL 17)  7         1         4         2         3         w         
w         w         (NIL 23)  8         9         6         w         (NIL 17)  8         9         (NIL 10)  1         9         w         (NIL 6)   2         1         3         w         w         
