kakuro 12 20
w         (3 NIL)   (33 NIL)  w         (8 NIL)   (14 NIL)  w         (15 NIL)  (19 NIL)  (12 NIL)  w         (11 NIL)  (4 NIL)   (16 NIL)  w         (11 NIL)  (17 NIL)  w         (34 NIL)  (17 NIL)  
(NIL 4)   1         3         (3 7)     5         2         (NIL 7)   1         2         4         (45 7)    2         1         4         (NIL 11)  3         8         (16 16)   7         9         
(NIL 16)  2         6         1         3         4         (20 42)   4         9         8         7         5         3         6         (12 35)   5         9         7         6         8         
w         (13 10)   8         2         (33 15)   1         4         2         8         (20 6)    5         1         (NIL 7)   2         4         1         (21 13)   9         4         (8 NIL)   
(NIL 17)  8         9         (11 29)   8         7         9         5         (11 19)   7         9         3         (7 11)    3         5         2         1         (8 9)     8         1         
(NIL 29)  5         7         8         9         (NIL 33)  7         3         8         9         6         (23 6)    2         1         3         (NIL 29)  8         5         9         7         
w         (11 NIL)  (15 4)    1         3         w         (23 NIL)  (27 16)   2         4         3         6         1         (30 NIL)  (7 NIL)   (NIL 4)   3         1         (15 NIL)  (3 NIL)   
(NIL 12)  3         1         2         6         (26 10)   6         3         1         (27 18)   2         8         4         3         1         (27 12)   4         2         5         1         
(NIL 13)  8         5         (7 29)    7         8         9         5         (NIL 24)  7         8         9         (24 23)   7         2         9         5         (17 5)    3         2         
w         (5 6)     4         2         (9 24)    7         8         9         (3 4)     3         1         (16 28)   7         9         4         8         (16 11)   9         2         (10 NIL)  
(NIL 15)  4         3         5         1         2         (NIL 41)  6         2         8         4         7         9         5         (NIL 34)  6         9         8         4         7         
(NIL 3)   1         2         (NIL 17)  8         9         (NIL 14)  4         1         9         (NIL 23)  9         8         6         (NIL 11)  4         7         (NIL 4)   1         3         
